variable,description,data_type,possible_values;;;;
"cell_id,""Unique identifier of the 9 x 9 km spatial reference grid cell, matching the cell IDs of the published ERA5-Land-compatible reference grid."",integer,""e.g. 1711, 4188, 14022 (range: 1711 to 14022)""";;;;
year,Calendar year of the sampling week.,integer,2008 to 2022;;;;
"week,""ISO 8601 sampling week number within the year (week 1 to week 52 or 53, depending on the year)."",integer,1 to 53";;;;
"value,""Aggregated mosquito abundance: weekly median number of individuals per trap-night, computed for each unique combination of grid cell, sampling week, year, trap type, and mosquito sex."",numeric,""e.g. 0, 2, 41, 236 (range: 0 to 19351";" may include half-integer values such as 1.5 when the underlying group has an even number of records)""";;;
"value_q1,""25th percentile (first quartile) of the raw trap-night counts underlying the weekly median in value, describing its lower spread."",numeric,""e.g. 0, 1, 23 (range: 0 to 19351)""";;;;
"value_q3,""75th percentile (third quartile) of the raw trap-night counts underlying the weekly median in value, describing its upper spread."",numeric,""e.g. 3, 12, 598 (range: 0 to 19351)""";;;;
Country,Country of the sampling site.,character,Italy;;;;
"Region,Italian administrative region of the grid cell.,character,""Apulia, Autonomous Province of Trento, Basilicata, Calabria, Campania, Emilia-Romagna, Friuli-Venezia Giulia, Lazio, Liguria, Lombardy, Marche, Piedmont, Sardinia, Sicily, Tuscany, Umbria, Veneto""";;;;
"longitude,Longitude of the grid cell centroid (not the original trap coordinates).,numeric (decimal degrees),""e.g. 9.45, 12.30 (range: 7.05 to 18.45, WGS84)""";;;;
"latitude,Latitude of the grid cell centroid (not the original trap coordinates).,numeric (decimal degrees),""e.g. 41.90, 46.25 (range: 36.75 to 46.25, WGS84)""";;;;
"municipality_centroid,Data quality flag: whether the trap coordinate(s) contributing to this record were unavailable or invalid in the raw data and were approximated using the municipality centroid before being assigned to a grid cell.,character,""yes, no""";;;;
"Institute,Institute responsible for collecting and owning the underlying raw (disaggregated) data.,character,""e.g. Istituto Zooprofilattico Sperimentale Lombardia ed Emilia-Romagna, Fondazione Edmund Mach""";;;;
"contact_person,Name of the institutional contact person to reach for access to the underlying raw data.,character,""e.g. Francesco Defilippo, Mattia Calzolari""";;;;
contact_person_email,Email address of the institutional contact person listed in contact_person.,character,e.g. francesco.defilippo@izsler.it;;;;
trap_type,Type of trap used for sampling. CDC / CDC_LIKE = CDC (-like) light trap without CO2; the _CO2 suffix indicates baiting with CO2; BG = BG-Sentinel trap; GRAVID = CDC Gravid trap;" ASP = aspiration catch.,character,""CDC_CO2, CDC_LIKE_CO2, CDC, CDC_LIKE, BG_CO2, BG, GRAVID, ASP, NA"""
Canonical_name,Accepted common name of the sampled taxon.,character,Common house mosquito;;;;
kingdom,Taxonomic Kingdom.,character,Animalia;;;;
phylum,Taxonomic Phylum.,character,Arthropoda;;;;
class,Taxonomic Class.,character,Insecta;;;;
order,Taxonomic Order.,character,Diptera;;;;
family,Taxonomic Family.,character,Culicidae;;;;
genus,Taxonomic Genus.,character,Culex;;;;
species,Taxonomic Species.,character,pipiens;;;;
life_stage,Developmental life stage of the sampled individuals.,character,adults;;;;
"sex,""Sex of the sampled individuals. Reflects the recording practice of each contributing institution as provided, without reclassification."",character,""F (female), M (male), F+M (combined unsexed count), NA (not recorded)""";;;;
"EPSG,""Coordinate Reference System of longitude/latitude, designated by its EPSG code."",integer,4326";;;;
"n_records_aggregated,""Number of raw trap-night records aggregated into value for this combination of grid cell, sampling week, year, trap type, and sex"; a measure of sampling effort. When > 1, value is their median (with value_q1/value_q3 as the IQR);" when = 1, value is that single original observed count."",integer,""e.g. 1, 5, 12 (range: 1 to 24)""";;
"note,""Free-text methodological notes on coordinate imputation, spatial/administrative corrections, duplicate handling, or other quality-control flags applied to the underlying raw records contributing to this row."",character,e.g. 'N = 1 Coordinates were missing"; derived from municipality centroid.'; 'Municipality corrected from X to Y.'; NA (no note);
